case_id,pdb_id,component_id,source_url,sdf_path,sdf_sha256,pdbqt_path,pdbqt_sha256,pdbqt_bytes,meeko_version,command,exit_code,status,log_path,completed_at_utc
pilot-001,1STP,BTN,https://files.rcsb.org/ligands/download/BTN_ideal.sdf,raw/ligands/pilot-001_BTN_ideal.sdf,3fecadcb5566b585d0129c7913d4d3a4f8b0bf789c80cc07404bb695727f24bf,derived/strict-ligands/pilot-001_BTN.pdbqt,c55477d424d9c7a9f58d6b8dd9a74d8e85af31f6338a33250646796945391c0e,1982,0.7.1,"[""C:\\Python313\\Scripts\\mk_prepare_ligand.exe"", ""--mol"", ""raw\\ligands\\pilot-001_BTN_ideal.sdf"", ""--out"", ""derived\\strict-ligands\\pilot-001_BTN.pdbqt""]",0,prepared,reports/generated/ligand-preparation/pilot-001_BTN.log,2026-08-12T07:08:52.191106Z
pilot-007,3D4Q,SM5,https://files.rcsb.org/ligands/download/SM5_ideal.sdf,raw/ligands/pilot-007_SM5_ideal.sdf,1f2344723c8bd17c0d0b8e11d55a2b75874b175bb3a4a4ab4c704443228067c5,derived/strict-ligands/pilot-007_SM5.pdbqt,41280e8e7984a50eb37e541d4bd54c78edde94ca397737ed0200d9ca76110d84,2894,0.7.1,"[""C:\\Python313\\Scripts\\mk_prepare_ligand.exe"", ""--mol"", ""raw\\ligands\\pilot-007_SM5_ideal.sdf"", ""--out"", ""derived\\strict-ligands\\pilot-007_SM5.pdbqt""]",0,prepared,reports/generated/ligand-preparation/pilot-007_SM5.log,2026-08-12T07:08:53.822667Z
