case_id,pdb_id,receptor_chain,source_path,source_sha256,output_path,output_sha256,output_bytes,operations,created_at_utc
pilot-001,1STP,A,raw/structures/pilot-001_1STP.cif,36be77b9722ebb9f603b27bf16cbc30057f87ab9923a2d2adab0eadbdb30c30f,derived/strict-receptors/pilot-001_1STP_chain-A_strict.pdb,efe7f2d587d2104d03ede7ef752574c54d0b57f27d8a30a751f2f0fb028fc412,78884,select declared chain; remove other chains; remove ligands and waters; no repair/altloc selection,2026-08-12T07:05:42.178589Z
pilot-004,1FPU,A,raw/structures/pilot-004_1FPU.cif,67298b2666f60457a21b2784a580d9a65896a055e90bae64d1afe377571f0cee,derived/strict-receptors/pilot-004_1FPU_chain-A_strict.pdb,7a8ae4ab81ecb08710bb7fe84e7c2bf5ccbd4730a1256e48cd96d28b27fdd874,184500,select declared chain; remove other chains; remove ligands and waters; no repair/altloc selection,2026-08-12T07:05:42.206795Z
pilot-007,3D4Q,A,raw/structures/pilot-007_3D4Q.cif,034d6572fda3bb64e13c3b42ef5d55466f3ec4704f47d1357fa23bf802d0d983,derived/strict-receptors/pilot-007_3D4Q_chain-A_strict.pdb,e74cf34cf0924312b853bb8d1b5061e5ebc40c3dc3034b8c1541aeb6ddd9652f,180564,select declared chain; remove other chains; remove ligands and waters; no repair/altloc selection,2026-08-12T07:05:42.235783Z
